num mjd kelt1 comp1 comp2 airmass m1z k1loc c1loc c2loc tellurictop telluricbot
5 1.58273139 31239157.0391 17177676.2015 14461776.4671 1.2619799466 -0.153086 0.0 0.0 0.0 29052672.1219 -0.343161721633
6 1.5835243 31165665.745 17150705.4558 14477076.508 1.25821726496 -0.152511 -0.161450925718 -0.0647679939428 -0.247616977636 28143003.094 -0.314128515762
7 1.5843114 31036986.698 17089847.4574 14418364.5071 1.25453813678 -0.142352 0.14944496794 -0.00275371384482 -0.145879965164 27966043.7106 -0.205108539416
8 1.58510561 30935578.3256 17011838.1697 14362358.8869 1.25090877914 -0.13664 -0.243420213754 0.02173826155 -0.350443643808 28104462.0621 -0.136950026895
9 1.58589813 31060801.0689 17088239.3006 14430434.935 1.2473133089 -0.150473 0.298782533525 0.369369201263 -0.0483326997 27929790.6451 -0.231094496756
10 1.58687408 31133469.3976 17104041.0336 14429610.9534 1.24296131648 -0.164632 0.260411231881 0.388520799803 0.0794689459182 29459156.7929 -0.324885751759
11 1.58766824 31166615.5835 17146736.8109 14464260.7235 1.23945518415 -0.165271 -0.00317980192591 0.198472938684 -0.0357721470858 27177628.5395 -0.308724845891
12 1.58846037 31194028.4523 17164517.3329 14493679.4417 1.23599127805 -0.157205 0.292861921367 0.335428020523 -0.0190877196989 27090333.5378 -0.225338606487
13 1.58925317 31214752.5844 17169648.4461 14498935.1483 1.23254442419 -0.157901 0.377031983784 0.40786558955 0.071312189673 27038024.405 -0.211875391496
14 1.59005396 31068429.0675 17097637.059 14418266.2302 1.22910026508 -0.134575 0.121600158964 0.147864603169 0.0441664235355 27342111.2386 -0.0173280932921
15 1.59084765 30782482.7808 16940951.7529 14313073.6997 1.2257412722 -0.10537 0.336270424586 0.271015503339 0.111426240496 27094890.4533 0.215175275956
16 1.59164338 30598034.3445 16852297.5894 14207990.0924 1.22240928242 -0.09062 0.356036766913 0.239534073679 0.0457786812675 26911804.169 0.334773144054
17 1.59243695 30613595.0587 16856096.0242 14228625.3824 1.21912236731 -0.09549 0.353047953396 0.203785489655 0.122577507469 26506701.0682 0.308932738381
18 1.59323257 30596043.2825 16844295.5687 14224148.408 1.21581364571 -0.091509 0.492605145399 0.411947455668 0.317080914737 26345760.0053 0.34692123229
19 1.59402523 30839290.7197 16963046.6397 14307292.6161 1.21259726439 -0.099044 0.312006204376 0.231551272424 -0.0688516060294 26296178.6695 0.302750834868
20 1.59499908 30794376.9878 16953227.4466 14313528.1567 1.20870815115 -0.104505 0.607608721933 0.483643492285 0.417820088621 28367340.8569 0.274111295452
21 1.595792 30924973.4683 17020251.5623 14370613.5002 1.20556810812 -0.115736 0.467447553637 0.472224602182 0.361650595881 25475286.1324 0.206611092361
22 1.59658642 30934762.8093 17033086.5556 14371828.7225 1.20245274098 -0.126069 0.429035841211 0.412259816843 0.33325689727 24598678.4396 0.146862852785
23 1.59737941 30904558.1195 16993388.2516 14348418.3774 1.19938002082 -0.116077 0.622541449611 0.585113872589 0.306091957851 24326303.3893 0.224369969586
24 1.59817122 31105766.6405 17119622.8906 14440058.9733 1.19633603794 -0.142817 0.831894100088 0.735693926204 0.59440221627 23968098.3289 0.0574851544661
25 1.59895951 31073605.4052 17104999.2181 14441184.8961 1.19332880493 -0.145511 0.596327492318 0.492666447104 0.327520019252 22724947.6971 0.0513565436826
26 1.59975277 30975090.3214 17050718.5402 14395935.649 1.19034558946 -0.135628 0.485465586072 0.359156725054 0.209405210195 22471472.5292 0.12632139309
27 1.60054431 31009943.6958 17063315.6225 14402392.1706 1.18740351233 -0.145853 0.784337805326 0.831753672543 0.398033066981 22524212.3741 0.0714475149849
28 1.60133095 31246054.3459 17183368.8505 14509430.8879 1.18453570924 -0.161286 0.903728125664 0.861957243883 0.648112877247 22599903.9339 -0.0150035200237
29 1.60212391 31205641.133 17169840.4096 14496062.3487 1.18165231474 -0.153085 0.845479320933 0.708479665828 0.615915906511 22887245.3576 0.0474848337031
30 1.60309795 31222102.3044 17189420.5212 14516836.0016 1.17812239435 -0.151448 0.896478772176 0.647401400435 0.619563603057 25011470.0324 0.068125470413
31 1.60389015 31195033.707 17163743.718 14485444.1754 1.17531302412 -0.162108 0.798121147308 0.74211242965 0.488414181823 22807365.6874 0.0134093545838
32 1.60468433 31295058.4168 17212873.6612 14537288.5388 1.17253072079 -0.181383 0.939955312338 0.785268714633 0.616814717676 22979949.9494 -0.0920678595581
33 1.60547745 31351064.9063 17234937.2565 14553244.799 1.16978276437 -0.185381 1.07503171097 1.01959838172 0.746504571819 23201188.1963 -0.104380039899
34 1.60626573 31344451.5361 17232372.0783 14549095.9853 1.16705664778 -0.189773 0.917820028871 0.714339958969 0.552024713121 22819856.7466 -0.118834451908
35 1.60706037 31418302.9981 17271754.0489 14589367.4481 1.1643687536 -0.208106 1.10906031174 0.838156527825 0.657686934155 22894835.1233 -0.214422977192
36 1.6078519 31397198.3803 17270604.329 14580632.7986 1.16171037104 -0.209886 1.07959635022 0.877652533075 0.608799032847 23092648.6627 -0.212542195446
37 1.60864758 31359734.6713 17242230.3406 14588995.2136 1.15908142179 -0.220942 1.06978760499 0.875682837264 0.626218095434 23373682.0963 -0.263839631849
38 1.60943905 31344669.2639 17242366.2653 14557167.4318 1.1564707431 -0.22661 1.14474241509 0.91168732739 0.828974898107 22912688.2531 -0.283700298281
39 1.61022828 31439352.7631 17279655.7625 14587459.8474 1.15390022902 -0.230489 1.18374686175 1.06119324085 0.845767182225 22865795.814 -0.293226524105
40 1.61135682 31376537.5922 17257214.9787 14575857.0003 1.15029987428 -0.225656 1.27671287665 1.0450241291 0.807505838105 24769128.0966 -0.254233749598
41 1.61214582 31438096.373 17283081.4435 14593704.5892 1.147794468 -0.22031 1.25830911048 0.933405987826 0.897878342324 22969698.7465 -0.213218026993
42 1.61293792 31421148.9138 17274715.9192 14579600.6237 1.14532053094 -0.216084 1.35051406008 1.01473072357 0.919812942409 23156316.493 -0.179138137627
43 1.61373186 31398069.1042 17269235.5089 14597530.4796 1.14287499595 -0.20667 1.21716822639 1.11310264707 0.846858168987 23734884.0552 -0.11768627431
44 1.61452501 31408325.1137 17271934.8565 14570107.7622 1.14045650486 -0.204621 1.19744322956 0.967324099248 0.738276481896 23475275.1259 -0.0968688196918
45 1.61531367 31368192.8268 17260582.098 14563542.1646 1.13805839963 -0.211796 1.15143089889 0.987546111098 0.751657945279 23410241.1184 -0.125497523637
46 1.61610598 31373414.584 17250310.6729 14565388.4954 1.13569112036 -0.209222 1.41697212543 1.21434259425 1.01220587715 24042336.4873 -0.102339733437
47 1.61689834 31344512.6544 17245173.6617 14553850.9218 1.13335502502 -0.191752 1.2107280247 1.01568675616 0.704872026615 24166245.4791 -0.00181407728805
48 1.61768464 31317133.015 17219045.1755 14534961.2373 1.13107841581 -0.177786 1.40264363336 1.19332481106 1.05746830057 23956702.0689 0.0788284674525
49 1.61848002 31160815.1235 17163756.6551 14494596.8451 1.1287945526 -0.168645 1.24332141221 1.05847403355 0.9175484378 23769281.2436 0.133302386726
50 1.61946155 30907177.3954 17009965.6457 14347465.2408 1.12599629617 -0.145058 1.63763375149 1.44413843868 1.12111040608 24515250.0736 0.260494602185
51 1.62025588 30965617.1467 17030414.4445 14380787.6519 1.12373937682 -0.144882 1.36389374895 1.19383070505 1.07194298715 22797793.9006 0.267221184171
